tweet,subtask_a,subtask_b,subtask_c
महाराष्ट्रातील सध्याच्या सरकारने नीटपणे बाजू न मांडल्यानेच स्थगिती मिळाली असे विरोधकांनी म्हणायचे आणि आधीच्या सरकारने तयारी…,not offensive,NULL,NULL
पुणे नाशिक महामार्गावरील मोशी टोलनाक्यावर वाहनांच्या रांगा लागल्यात,not offensive,NULL,NULL
महाराष्ट्राकडून ला बाबरी मज्जिद पाडण्यात आली आणि आज ला महाराष्ट्र पोलिसाकडून मुंबईमधली बाबरी मशीद…,not offensive,NULL,NULL
वर चीन सोबत असलेल्या स्थितीवर रक्षा मंत्री च लोकसभेत संबोधन जेवढे सांगता येईल तेवढे सांगितले आता अश्यावेळी ते मंद…,not offensive,NULL,NULL
प्रत्येक आंदोलनाला एक इतिहास व एक भविष्य असते स्वातंत्र्याची लढाई संयुक्त महाराष्ट्र चळवळ गोवा मुक्ती संग्राम व…,not offensive,NULL,NULL
हिंदूस्थान माझा देश अशा कट व्याना इथे खपवून घेतले जाणार नाही …,not offensive,NULL,NULL
महत्वाचा प्रश्न आहे रोजगार निर्मिती चे धोरण आणि सातत्यपूर्ण प्रयत्न सरकारकडून व्हावे लागतात तरच पुढील वर्षांनी…,not offensive,NULL,NULL
पाहा महाराष्ट्रातील आजचे आकडे काय आहेत,not offensive,NULL,NULL
बघू आजचा पोल कोणाच्या बाजूने जास्त येतो ते,not offensive,NULL,NULL
मामहापौर ताई आपण आज च्या पत्रकाराशी बोलताना हिंदीत संवाद साधला महाराष्ट्राची राज्यभाषा…,not offensive,NULL,NULL
आवताण द्यायचं नाय नाअन दिलाय तर डांगीत पाय घालून पळायचं नायगाण ने नाही गु अन हगणे चाले जुहू अशी गत तुझी भेंडी,not offensive,NULL,NULL
नासधूस झालेल पीक बिचारा ऊघड्या डोळ्यानं पाहतो अधिकारी येऊन पीकाचा पंचनामा करून निघून जातो नुकसान झा…,not offensive,NULL,NULL
सोडले तर सर्व पंथातील लोक स्वत च्या पवित्र ग्रंथाबद्दल जागरुक असतातपठण करतातघरोघरी प्रत जतन करतात अनेक हिंदूत्ववा…,not offensive,NULL,NULL
कमी पैस्यांत शिक्षण होत एव्हड समजलं तरी खुप झालं आता तुला खाजगीकरण व आरक्षण हे वेगळे विषय आहेत हे…,not offensive,NULL,NULL
त्यात पण राष्ट्रवादीची नाजायज औलाद विधवा विलापाला पुढे राहिली असतीसत्ता यांचीविषय राज्याचा तरी अपे…,not offensive,NULL,NULL
किती रंगवीशी रंग रंग भरले डोयात माझ्यासाठी शिरीरंग रंग खेये आभायात बहिणाबाई चौधरी…,not offensive,NULL,NULL
रोहित धोनी नव्हे तर हे ३ क्रिकेटर्स आयपीएल २०२०मध्ये पटकावतील सर्वाधिक षटकार मारण्याचा अवॉर्ड…,not offensive,NULL,NULL
मराठवाडा विदर्भासाठी आनंद वार्ता कोटा अखेर रद्द,not offensive,NULL,NULL
आणि बालपणी ऑटोग्राफ देणाऱ्या क्रिकेटरने पेन नेल्यामुळे ढसाढसा रडलेल्या स्टारची गोष्ट वाचा,not offensive,NULL,NULL
सन २०२० २०२१ या वर्षात मराठा समाजाला नोकऱ्या आणि शैक्षणिक संस्थामध्ये आरक्षणाचा लाभ मिळणार नाही …,not offensive,NULL,NULL
मित्र आरश्या सारखे असतात,not offensive,NULL,NULL
तुझ्या हिश्श्याचं चांदणं अजून छतावर तसंच आहे आलीस कधी चुकून तर अंधाराला विकून जा कोपऱ्यात पडलेला चंद्र तेवढा ज…,not offensive,NULL,NULL
आपन गोटया खेळायच्या फक्त,not offensive,NULL,NULL
अकबराच्या सहिष्णु प्रतिमेमागचं सत्य जाणून घ्या हा इतिहास धक्कादायक आहे,not offensive,NULL,NULL
च्यायला हे बरं आहे म्हणजे आत्तापर्यंत मनमोहन सिंगांवर कोणीही उठून काहीही बोलायचं मग त्यामध्ये शि…,not offensive,NULL,NULL
मनात खूप काही असतं पण सांगता येत नाही कसली भीती असते माहीत नाही कधी कधी नात्यातला गुंता सोडवण्यापेक्षा शां…,not offensive,NULL,NULL
तुला समजला नां मंद सैनिकांना अस उलट मराठी कळत,not offensive,NULL,NULL
ट्विटरवर जे लोक टीएलवर याविषयांवर सर्वात जास्त ट्विटस करत असतात तेच लोक सर्वात जास्त इतर…,not offensive,NULL,NULL
तुम्ही धीर किती धरता तो धीर धरण्याचं सामर्थ्य तुमच्यात किती ह्या गोष्टीला आयुष्यात जास्त महत्व आहे श्रीकृष्ण…,not offensive,NULL,NULL
आणि राहिला विषय पदाचा ज्या वेळेला गुलाम लाचार आणि सतरंज्या उच…,not offensive,NULL,NULL
सरकारने आणि मीडिया ने रिह्या सुशांत आणि कंगना यांना जेवढं गांभीर्याने घेतला तितकंच राहुल गांधी ला घेतला असत तर थो…,not offensive,NULL,NULL
तुम्हाला कसे माहीत नाही तेकिती बाजू घेणार तिची प्रसिद्धीसाठी तोंडात येईल ते बोलते,not offensive,NULL,NULL
जर प्रेमाची परिभाषा जणून घ्यायची असेल तर मग आधी तुम्ही स्वःतावर प्रेम करायला शिकाकारण जो व्यक्ती स्वःतावर प्रेम कर…,not offensive,NULL,NULL
मराठा आरक्षण प्रकरण विस्तारित खंडपीठाकडे सोपवलं गेलं आहे पण मराठा आरक्षणाला तात्पुरती स्थगिती देण्यात आली आहे यावर…,not offensive,NULL,NULL
प्रीमियर लीग अवघ्या पाच दिवसांवर येऊन ठेपली आहे या हंगामात सर्वाधिक गोल्स कोण करेल?,not offensive,NULL,NULL
खोटेपणा आणि मोठेपणा दाखवून माणसं जोडता येतात पण ते टिकवता येत नाही जे काही आहे ते रियल आहे अस करा की आपला स्व…,not offensive,NULL,NULL
करोनाच्या प्रादुर्भावामुळे सात महिन्यांपूर्वी भूमिपूजन होऊनही कागदावरच राहिलेल्या बहुचर्चित समूह पुनर्विकास…,not offensive,NULL,NULL
जीवनात त्याच गोष्टी करण्यात मजा आहे ज्या गोष्टीला लोक म्हणतात की तुला हे कधीच जमणार नाही शुभ सकाळ शिव…,not offensive,NULL,NULL
आयुष्य इतक सुंदर नसतं जर तुझी एन्ट्री झाली नसती हसत खेळत रडखडत डोक्यावर ती प्रेमाची टपली पडली नसती,not offensive,NULL,NULL
माणुसकीचे असावे माणसाला छंद तेंव्हाच जोडले जातात मनाशी मनाचे रेशमी बंध या ठिकाणी आहेत फॉलो करून अनफॉलो करणा…,not offensive,NULL,NULL
भाजपचे खासदार च्या आयटी सेल संदर्भात काय म्हणतात ते वाचा,not offensive,NULL,NULL
आणि त्यांच्या निष्ठावंत समर्थकांची खरच गोची झालीये त्यांनाही आतून पटलं नसणार हे पण…,not offensive,NULL,NULL
एकाचे शंभर करायला वेळ लागत नाही मात्र शून्याचा एक करायला वेळ लागतो हा नियम खुद्द सचिन तेंडुलकरलाही लागू झाला १००…,not offensive,NULL,NULL
तीन हजार आठशे चारशे म्हणून एखाद्याला हसण्यापुर्वी आपण किती चुका करीत असतो हे एकदा पाहायला हवे,not offensive,NULL,NULL
ह्या अन त्या जोरजोरात प्रश्न विचारणाऱ्या पत्रकारांच्या डोक्यावर परिणाम झालाय वाटत त्यांना हे काका पोस्टमन आहेत…,not offensive,NULL,NULL
शरीर नेहमी उष्ण असणे हिरड्यांतून रक्त येणे शरिराची आग होणे अंगावर गां…,not offensive,NULL,NULL
आठवले पक्षाचा कार्यकर्त्यांकडे बघितलं की असं वाटत की संविधान फक्त बाबासाहेबानी बनवलाय म्हणून आम्ही मानणार आणि जर दु…,not offensive,NULL,NULL
राज्य छोटे असले तरी चालेल पण स्वतःच असावं त्यामुळे स्वतःचं अस्तित्व निर्माण करा जग तुमचा आदर करेल,not offensive,NULL,NULL
जीवनात एक तरी असा मित्र बनवा जो आपले दुःख न विचारता फक्त आपल्या हावभाव व चेहऱ्यावरुन ते ओळखू शकेल,not offensive,NULL,NULL
चषक जिंकल्यावर कॅप्टन कुल धोनी अचानक कुठे गायब होतो? वाचा कौतुकास्पद उत्तर,not offensive,NULL,NULL
शिवजन्मभूमी भगवा शालू घेऊन नटली निसर्गाची माया,not offensive,NULL,NULL
काही वर्षांपूर्वी घरात गणेश स्थापना केली या कारणावरून काही दलित बंधूंना वाळीत टाकणारे स्वयंघोषित रिपब्लिकन नेते आज देवळाचं रा…,not offensive,NULL,NULL
येत्या काळात ड्रग ही आवश्यकता का बनते बिचारे कलाकार का बळी पडतात ड्रग ही आवश्यकता असल्याने तो गुन्हा ठ…,not offensive,NULL,NULL
राज्याचे मुख्यमंत्री उध्दव कंगनाच्या मागे हात धुऊन मागे लागले आहेत बायकांच्या मागे…,not offensive,NULL,NULL
जर खरच मानसिक समाधान ही जगातली सगळ्यात मोठी श्रीमंती असेल तर वातानुकूलित चारचाकी मध्ये फिरणाऱ्या नोकरदारापेक्षा रोडवर…,not offensive,NULL,NULL
शेजारच्यांच्या घरी जाऊन रविवारचा सिनेमा पाहताना जाहिरात लागल्यावर जेवण आणि पाणी पिण्याची आठवण व्हा…,not offensive,NULL,NULL
ज्येष्ठ व उच्चविद्याविभूषित अभिनेत्री लीला चिटणीस यांची आज जयंती हिंदी चित्रपटातील वात्सल्यसिंधू आई म्हणून त्या…,not offensive,NULL,NULL
चा स्वस्त वेरिएंट कंपनीच्या साइट वर झाला लिस्ट येईल लवकरच,not offensive,NULL,NULL
क्रेडिट कार्ड वापरताय? या गोष्टींचे भान ठेवले नाही तर मोठ्या समस्यांना सामोरे जावे लागेल,not offensive,NULL,NULL
मिट्रो कोथरुड मध्ये टेस्टिंग सेंटर कुठे आहे एनी आयडिया? आणि पॉसिटीव्ह आल्यानंतर चे प्रोटोकॉलस स्टेप्स बद्दल कोणाला काही आ…,not offensive,NULL,NULL
कोणाही ‘टॉम डिक आणि हॅरीनं मुख्यमंत्र्यांचा केलेला अनादर स्वीकारार्ह नाही जलील यांचा कंगनाला टोलाखासदार इम्तियाज…,not offensive,NULL,NULL
नशीबवान खूपच नशीबवान मग येतात अजूनही ची पूर्ण जाहिरात न बघणारे (कारण ते च्या बाईलवेड्या फालतू मालि…,not offensive,NULL,NULL
म्हणून गप्प आहेत?????? मान…,not offensive,NULL,NULL
इमारत पुन्हा उभी राहील परंतु सरकार पडेल ते पुन्हा उभे राहील काय ?,not offensive,NULL,NULL
ची मराठी वर लक्ष्य द्या असं वाटतंय तोंडात पान मसाला घालून बोलू राहिला आहे,not offensive,NULL,NULL
माझे मित्र जेव्हा मी त्यांना पार्टी देतो तेव्हा असे खातात पितात की जन्मल्या पासून काही खाल्लच नाही आहे,not offensive,NULL,NULL
आणि रिया…,not offensive,NULL,NULL
ॐ जैसे लाखोलीचें धान्य । निवडून वेंचितां होतें मान्य । सगट मानितां अमान्य । देव क्षोभे ।। काहिण्या कथा गोष्टी पवाड ।…,not offensive,NULL,NULL
राज्यात उभारण्यात आलेल्या जम्बो कोविड सेंटरमधील परिस्थितीकडे सरकारचं लक्ष वेधत फडणवीस यांनी सरकारवर टीका केली आले…,not offensive,NULL,NULL
मुख्यमंत्री बंगला दुरुस्ती साठी कोटी आणि विदर्भ पूरग्रस्त लोकांसाठी कोटी हीच का तुमची राज्याच्या…,not offensive,NULL,NULL
तमिळनाडूचा मेकॅनिकल इंजिनीयर आयपीएलमध्ये करोडपती होतो तेव्हा,not offensive,NULL,NULL
हे प्रकाशित हो…,not offensive,NULL,NULL
विराटशी तुलना करणे सोडा मी तर त्याच्या आसपासही नाही,not offensive,NULL,NULL
आपली घरं जळत आहेत दुसऱ्यांच्या घरांवर आग लागलेली बघायचं बंद करा कारवाई योग्य आहे परंतु कोरोना अर्थव्यवस्था महागाई…,not offensive,NULL,NULL
जर खरच मानसिक समाधान ही जगातली सगळ्यात मोठी श्रीमंती असेल तर वातानुकूलित चारचाकी मध्ये फिरणाऱ्या नोकरदारापेक्षा…,not offensive,NULL,NULL
टाळेबंदीमुळे नोकरीवर गदा रोजगाराच्या शोधासाठी वाहतुकीचा अभाव उपनगरी गाडय़ा बंद असल्याने पालघर जिल्ह्य़ातील…,not offensive,NULL,NULL
आज उद्या रक्तदान करण्याचा विचार आहे फोटोचा आणि याचं काही कनेक्शन नाही फोटो छान दिसतोय असं वाटलं म्हणून टाकला कसा…,not offensive,NULL,NULL
मी पण उद्या राज्यपालांची भेट घेणार आणि २०१४ साली लोकसभा निवडणुकीत मोदीनी १५ लाख रुपये देण्याचा आश्वासन…,not offensive,NULL,NULL
मदराशा चा भोंगा बंद करा अशी विनंती केल्यावर तोंडात केळ घेऊन बसलेली वर्षानुवर्षे पावसाळ्यात गटारी साफ न कर…,not offensive,NULL,NULL
छत्रपती संभाजी महाराज यांच्या नावाने गेल्या कित्येक वर्षांपासून बिडी विकणाऱ्या कंपनीला अखेर दणका बसला आहे संभाजी…,not offensive,NULL,NULL
होणे कुटुंब व्यवस्थेला हादरा देणारं आहे मग ते कोणा एका साथीदाराची इच्छा आहे म्हणून किंवा परस्पर संमतीने,not offensive,NULL,NULL
आपल्या आई वडिलांच्या भगीरथ प्रयत्नांनंतर आपला जन्म झाला तो देखील महाराष्ट्रात राज्याची मातृ…,not offensive,NULL,NULL
एका लायकी नसलेल्या बाईने आपल्या मुंबईला पाकिस्तान म्हणून संबोधले आणि केंद्र सरकारने तिला जाब विचारायचा सोडून तिच्या…,not offensive,NULL,NULL
हो त्यांना कधी कधी सोन्या हाक मारतो आम्ही आता दादा बिहार ला आहेत तिकडे जाऊन सोन्या सारखा हागुन नका…,not offensive,NULL,NULL
फेसबुकच्या चावडीचे खुद्द मालक मार्क झुकरबर्ग यांच्याबद्दल १० अफलातून गोष्टी,not offensive,NULL,NULL
शांत व प्रसन्न मन हे शेवटचे असे हत्यार आहे की जे जीवनातील कोणत्याही प्रकारच्या आव्हानांना सामोरे जाण्यास सज्ज असते,not offensive,NULL,NULL
मंद गंधित बागेतून पाहिले तुला जातांना फुलासोबत लाजून तू प्रणय गीत गातांना (माझ्या बागेतील फुले भाग ६),not offensive,NULL,NULL
रिलायंस जिओ ला मिळालेल्या प्रचंड यशाचं रहस्य काय आहे? समजून घ्या,not offensive,NULL,NULL
मी पण उद्या राष्ट्रपतीची भेट घेणार आणि २०१४ साली लोकसभा निवडणुकीत मोदीनी १५ लाख रुपये देण्याचा आश्वासन दिले होते …,not offensive,NULL,NULL
आपल्यापासून लपवला गेलेला रस्ता अपघात झाल्यास सरकारने पीडितांना भरपाई देण्याचा महत्वपूर्ण नियम,not offensive,NULL,NULL
काटे च्या चांगलेच काटे रुतलेली दिसतात अरे बावळट मानसा तर्कशुद्धपध्दतीने विरोध कराय…,not offensive,NULL,NULL
नमस्ते ट्विटरकर आज वाचनात आलेल्या पुस्तकाचे नाव गोष्टी माणसांच्या हे पुस्तक मूळ ‘हाऊ आय टॉट माय ग्रँडमदर टू रीड अँड…,not offensive,NULL,NULL
८ सप्टेंबर बगळ्यांची माळ फुले अशी एकाहून एक सरस गाणी लिहिणारे कवी यांचा स्मृतिदिन निजाम सरकार…,not offensive,NULL,NULL
मनात जे असत ते बोलून लिहायच्या वेळी मी सगळे शब्द बरोबर उच्चारतो पण तेच कागदावर उतरतं असताना हमखास त्यातले २ ३ शब्द इथे तिथे…,not offensive,NULL,NULL
जिथे शिवसेनेचा हाथ असतो तिकडे अनधिकृत बांधकामे पाडली जातात एक आणि दुसरी कंगना ची,not offensive,NULL,NULL
आज ९ सप्टेंबर २०२० बरोबर ५१ वर्षे झाली मध्ये महापूर येऊन गेला ९ सप्टेंबर १९६९ मध्ये आलेल्या ह्या महापुरामळे नाशिक म…,not offensive,NULL,NULL
मरणाची जी असते तीही शेवटी मरूनच जाते जीवनातली जबाबदारी जणू मरणाला मातीच देते …,not offensive,NULL,NULL
सुशांत बिहारचा रिया बँगलोर कंगना हिमाचल प्रदेश आणि भांडणं महाराष्ट्रात हे बरोबर नाही अध्यक्ष महोदय,not offensive,NULL,NULL
धुंद ह्रद्ययाची तारा तु अल्लाद छेडत रहा नकोच थांबु तु आता असाच पडत रहा नकोच समजावु काहीच तु तसाच फक्त कळत रहा होऊ…,not offensive,NULL,NULL
सकाळी सकाळी बातमी २ लाख कोरोना रुग्णांसह पुणे जिल्हा देशांत नंबर१,not offensive,NULL,NULL
२०१६ साली भाजपचे तेव्हाचे आमदार व आताचे खासदार उन्मेष पाटील व इतरांनी माजी सैनिक सोनू म…,not offensive,NULL,NULL
नाव बदलले तर यांचे राजकारण करण्याचा एक मुद्दा कमी होईल ना यांना फक्त घोंगडे भिजत ठेवण्यात मजा ये…,not offensive,NULL,NULL
एमएएच बॅटरी आणि इंचाचा डिस्प्ले असलेला हा डिवाईस फक्त रुपयांमध्ये झाला भारतात लॉन्च,not offensive,NULL,NULL
हे शेतकऱ्यांच्या पाचवी ला पुजलेले आहे साली मोदी साहेबांनी स्वामीनाथन आयोग सत्तेत आल्यावर राबवण्याचं गाजर दाखवलंआम्ही…,not offensive,NULL,NULL
शेजारच्यांच्या घरी जाऊन रविवारचा सिनेमा पाहताना जाहिरात लागल्यावर जेवण आणि पाणी पिण्याची आठ…,not offensive,NULL,NULL
क्रिकेटवेड्या पोरापायी गावातील जमीनदार बाप मोहालीत भाड्याच्या घरात राहू लागला,not offensive,NULL,NULL
कधी अचानक रात्री मला झोप येत नाही आणि मी डोळे न मिटता मी त्या सगळ्या आठवणी आठवतो कधी तिच्या डोळ्यात बघतांनाकधी हसता…,not offensive,NULL,NULL
सुखाच्या एका अपेक्षेने दुःखाचे अनेक वार सहन केले पण सुखाने एक झलक दाखवली आणि दुःखाला बोलावणे पाठवले ©,not offensive,NULL,NULL
गुजराथ मधील ३०२२ मृत्युंची सांख्यीकी १) हाॅस्पीटलायझेशन नंतर पहिल्या २४ तासात ६ ७२ तासात २६ २) वय ६…,not offensive,NULL,NULL
यार या सरकारच्या मंत्र्यांमध्ये शर्यत लागली आहे कोणाला किती धमकी चे फोन येतात म्हणून जणू हे काय कुठ…,not offensive,NULL,NULL
पालकमंत्री साहेब संगमनेर तालुक्यातील गाव आहे माझे साली मी जमीन बँकेकडे गहान ठेऊन …,not offensive,NULL,NULL
जाता जात एक हलकासा घाव दुरावणाऱ्या मनांना न सुटणारा हाव,not offensive,NULL,NULL
आपण दररोज रोपांना पाणी देतो पण फळ फुले फक्त त्या त्या ऋतूमाना प्रमाणेच येतात म्हणूनच आयुष्यात संयम ठेवा प्रत्येक गो…,not offensive,NULL,NULL
प्रेमींनो आली रे आली आली ला भेट द्या आपली टीम बनवा आणि सहभागासा…,not offensive,NULL,NULL
बनगरवाडी व्यंकटेश माडगुळकर आवडता ग्रामीण कथासंग्रह माणदेशातल्या एका लेंगरवाडी नावाच्या वाडीवर…,not offensive,NULL,NULL
कंगनाचे ऑफिस फुटल्यास आज सर्वात जास्त आनंदी हृतीक रोशन असेल,not offensive,NULL,NULL
पंजाबी घरात जन्मलेला अक्षय एवढी भारी मराठी बोलतो याचं अनेकांना आश्चर्य वाटतं आज या खिलाडी कुमारचा वाढदिवस,not offensive,NULL,NULL
मुकेश अंबानी यांच्या निवेदनानुसार वर्षात रिलायन्स सध्याच्या दुप्पट व्यवसाय करत असेल शेअर ची किंमत अगदी व्यवसा…,not offensive,NULL,NULL
हा नागपुरातील नेता महाराष्ट्र व मराठी लोकांनवर एक मोठा काळा कलंक आहे,not offensive,NULL,NULL
मुळे विद्यार्थ्यांची परीक्षा,not offensive,NULL,NULL
महाराष्ट्राचे माजी मुख्यमंत्री हिंदीत का बोलत आहेत? आपल्या भावना त व्यक्त कर…,not offensive,NULL,NULL
कर्म कायम धर्मा पेक्षा श्रेष्ठ राहिलयं कारण धर्म करून तुम्ही देवाकडे याचना करता परंतु कर्म केल्यावर देवा…,not offensive,NULL,NULL
साखर पडो तुमच्या तोंडातखरंच असे झाले असते तर,not offensive,NULL,NULL
महाराष्ट्रात कोरोनाची लागण झालेल्यांची संख्या वर पोहचली असून त्यातील बरे झालेल्यांची संख्या इतकी आहे…,not offensive,NULL,NULL
डॉबाबासाहेब आंबेडकर यांच्या संविधानामुळे आज एका आदिवासी माणसाने चालवणारा ट्रेड भारतात एक नंबरचा ट्रेड होणार आहे ही…,not offensive,NULL,NULL
याआधी कितीजण बोलून गेले तेव्हा झोपले होते का?महाराज्यांच्या…,not offensive,NULL,NULL
मराठा आरक्षण प्रकरण विस्तारित खंडपीठाकडे सोपवलं गेलं आहे पण मराठा आरक्षणाला तात्पुरती स्थगिती देण्यात आली आहे यावर विरोधी…,not offensive,NULL,NULL
बीभत्स बॉलिवूड हिंदी चित्रपटसृष्टीच्या गोजिऱ्या चेहऱ्यामागचं विकृत विद्रुप वास्तव,not offensive,NULL,NULL
गोविंद स्वरूप यांच भारतासाठी योगदान केवढं रिया अन बाकी सगळे तत्सम लोकांचं भारतासाठी योगदान केवढं?? आपला समाज गो…,not offensive,NULL,NULL
जर प्रेमाची परिभाषा जणून घ्यायची असेल तर मग आधी तुम्ही स्वःतावर प्रेम करायला शिकाकारण जो व्यक्ती स्वःतावर प्रेम करतो ना…,not offensive,NULL,NULL
शरीरापेक्षा मनाचा थकवा खूप त्रासदायक असतो शरीर थकंल की शांत झोप लागते आणि मन थकलं की झोप उडते,not offensive,NULL,NULL
सुशांत बिहारचा रिया बंगलोर ची कंगना हिमाचल प्रदेश ची आणि भांडणं मात्र आपल्या लागलेत कुठे नेऊन ठे…,not offensive,NULL,NULL
समोरचा माणूस ज्ञानी की अज्ञानी हे तुम्हाला त्या मुद्द्यावर किती ज्ञान आहे यावर अवलंबून आहे,not offensive,NULL,NULL
वाल्यांना राजकारण करता येत नाही हे त्रिवार सत्य आहे आज शिवसेनेने जसा सूड घेतला तसलं कृत्य जर भाजपच्या महापौ…,not offensive,NULL,NULL
आज कंगना येतीये का मा पंतप्रधान तेच कळत नाहीये त्यात आजीचा प्रश्न तीच घर पडायचा काय संबंध इतके दिवस त्यांना दिस…,not offensive,NULL,NULL
सुडाचे राजकारण करणार्‍या शिवसेनेचा निषेध,not offensive,NULL,NULL
सोप्पे आहे मधील सीक्रेट चॅट लपवणे फॉलो करा या स्टेप्स,not offensive,NULL,NULL
सरकार आणि विरोधी पक्षांनी याबद्दल बोललं पाहिजे ते कंगनाचे काय ते कायद्याने होउदे सरकार व्यवसाय वाढी साठी काय करत आहे हे…,not offensive,NULL,NULL
दादा शेतकऱ्यांचा आणि गरिबाच्या मुलांचं कुठ चुकत आहे तुम्ही च सांगा मराठा आरक्षण स्थगित केलं आणि लगेच पो…,not offensive,NULL,NULL
